epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,13415.9,1.39466,0.92051,1.21247,0.81248,0.66924,0.76479,0.47805,1.43989,0.86999,1.32765,0.0086932,0.0086932,0.0086932
134,13518,1.39166,0.9201,1.21971,0.81295,0.66905,0.76499,0.4782,1.4398,0.87011,1.32773,0.0086833,0.0086833,0.0086833
135,13617.4,1.39911,0.92298,1.22551,0.81238,0.66905,0.76498,0.47815,1.43985,0.8699,1.328,0.0086734,0.0086734,0.0086734
136,13719.5,1.3938,0.92035,1.21416,0.81367,0.66886,0.76498,0.47827,1.43985,0.86995,1.32807,0.0086635,0.0086635,0.0086635
137,13821.3,1.39215,0.9157,1.21757,0.81328,0.66854,0.76502,0.47814,1.43966,0.86976,1.32812,0.0086536,0.0086536,0.0086536
138,13923.8,1.39228,0.9188,1.21795,0.81331,0.66817,0.76492,0.47808,1.43951,0.86953,1.32797,0.0086437,0.0086437,0.0086437
139,14025.5,1.396,0.92517,1.21666,0.81306,0.66857,0.76507,0.47821,1.4391,0.86962,1.32803,0.0086338,0.0086338,0.0086338
140,14126.8,1.39285,0.92273,1.21891,0.81434,0.66813,0.76521,0.47828,1.43879,0.86971,1.32798,0.0086239,0.0086239,0.0086239
141,14228.1,1.38374,0.91065,1.213,0.81509,0.66772,0.76524,0.47818,1.43879,0.86963,1.32797,0.008614,0.008614,0.008614
142,14329.6,1.3886,0.91553,1.21689,0.81558,0.66701,0.76533,0.47815,1.43893,0.86955,1.32809,0.0086041,0.0086041,0.0086041
143,14428.8,1.38415,0.91356,1.21502,0.81528,0.66718,0.76521,0.47827,1.43902,0.86958,1.32816,0.0085942,0.0085942,0.0085942
144,14530.1,1.39905,0.92162,1.21426,0.81456,0.66864,0.76535,0.47837,1.43894,0.86951,1.32815,0.0085843,0.0085843,0.0085843
145,14631.5,1.38771,0.91466,1.21206,0.81626,0.6673,0.76531,0.47839,1.43869,0.86936,1.32809,0.0085744,0.0085744,0.0085744
146,14733.2,1.38562,0.91077,1.21706,0.81614,0.66741,0.7651,0.47841,1.4385,0.86908,1.32804,0.0085645,0.0085645,0.0085645
147,14832.3,1.3866,0.91871,1.21791,0.81699,0.66701,0.76515,0.47845,1.43856,0.86931,1.32811,0.0085546,0.0085546,0.0085546
148,14933.6,1.38952,0.91521,1.21787,0.81537,0.66799,0.76509,0.47827,1.4384,0.86922,1.3279,0.0085447,0.0085447,0.0085447
149,15036.3,1.38506,0.91045,1.21598,0.81392,0.66881,0.76512,0.4784,1.43854,0.8691,1.32807,0.0085348,0.0085348,0.0085348
150,15138.1,1.38493,0.91138,1.21354,0.81439,0.66864,0.76504,0.47847,1.43866,0.86895,1.32829,0.0085249,0.0085249,0.0085249
151,15237,1.38146,0.90626,1.21519,0.81355,0.66942,0.7651,0.47841,1.43857,0.86895,1.32821,0.008515,0.008515,0.008515
152,15338.5,1.38405,0.90977,1.21524,0.81311,0.66966,0.7651,0.47847,1.43862,0.86893,1.32815,0.0085051,0.0085051,0.0085051
153,15439.7,1.38524,0.91127,1.21363,0.8131,0.6699,0.76514,0.47852,1.43863,0.86887,1.32825,0.0084952,0.0084952,0.0084952
154,15541.7,1.39292,0.91829,1.21474,0.81194,0.67047,0.76503,0.47859,1.43851,0.86888,1.32834,0.0084853,0.0084853,0.0084853
155,15643.5,1.38362,0.91101,1.20895,0.81231,0.66942,0.76476,0.47858,1.43864,0.86885,1.32852,0.0084754,0.0084754,0.0084754
